P,I,U,hidden_1,hidden_2,hidden_3,T_1500
3,5,180,0.862262,0.69022727,0.71936136,2.6144274e-09
3,5,200,-0.098077744,1.6847346,-0.049096033,2.2082374e-09
3,5,220,-0.45939183,1.8662877,0.077559724,1.8798184e-09
3,5,250,-0.85261774,3.2890933,-0.8659706,1.3804631e-09
4,1,50,-2.1180804,0.40552998,-0.46916735,1.6265713e-08
4,1,60,-1.7762414,0.21352613,-0.3857299,1.0636841e-08
4,1,70,-1.204154,-0.307415,0.104622826,7.2818588e-09
4,1,80,-0.7076777,-0.742164,0.6700059,5.3815282e-09
4,1,90,-0.9264476,-0.5902969,0.7703332,4.2827422e-09
4,1,100,-1.1453385,-0.07495421,0.20360468,3.5399246e-09
4,1,120,-1.0026925,0.0066207647,0.5458503,2.4728012e-09
4,1,140,-1.4282007,0.8848628,0.64475256,1.8776465e-09
4,1,160,-2.2402258,2.9043112,-0.02401255,1.4852209e-09
4,1,180,-1.2549801,2.7968228,-0.8898499,1.1123411e-09
4,1,200,-0.24861442,2.487366,-0.85668945,7.9579397e-10
4,1,220,0.74433887,2.3439388,-0.673316,6.1105835e-10
4,1,250,2.6725342,0.41798723,1.2655619,4.3678782e-10
4,2,50,-1.7457597,0.73996913,-0.30236298,2.3127277e-08
4,2,60,-1.3598042,0.36527407,-0.1273789,1.4780786e-08
4,2,80,-0.96836853,-0.1312828,0.50938004,7.5243488e-09
4,2,90,-1.0376406,0.11923838,1.1476547,5.8661613e-09
4,2,100,-1.3223742,1.0114369,0.00231044,4.8589079e-09
4,2,120,-0.96504223,0.74734974,0.20598643,3.3137766e-09
4,2,140,-0.9467031,0.46809077,0.5396704,2.5333418e-09
4,2,160,-0.80772525,0.5502142,0.49235755,1.8872765e-09
4,2,180,-1.4885434,2.003405,0.067223504,1.5351034e-09
4,2,200,-1.4842684,3.1701655,-0.7439638,1.2144758e-09
4,2,220,0.20266205,2.0888066,0.4355098,8.7599428e-10
4,2,250,0.98303175,2.2017748,-0.41719705,5.9608552e-10
4,3,50,-1.4737073,1.9579549,-0.37194645,3.2228243e-08
4,3,60,-1.3931451,2.4345357,-0.6221206,1.9712465e-08
4,3,70,0.17448798,1.1760997,0.03573598,1.1287569e-08
4,3,80,0.942636,0.20248514,0.6015031,7.7944659e-09
4,3,90,1.1307026,-0.088103,0.8971125,6.1087494e-09
4,3,100,0.98838556,-0.059172392,0.88129246,5.0408056e-09
4,3,120,0.4381786,0.39256704,0.39687055,3.7833165e-09
4,3,140,-0.10423994,0.68398833,0.38471973,3.0340093e-09
4,3,160,-0.7135873,1.1161722,0.08542584,2.5250265e-09
4,3,180,-1.2526562,1.7562692,-0.3970806,2.1013468e-09
4,3,200,-1.6120803,2.4827666,-0.048361167,1.6481587e-09
4,3,220,-0.9143012,2.9327676,-0.09874205,1.300903e-09
4,3,250,1.1519893,1.7449555,0.2728976,7.8713897e-10
4,4,50,0.5484074,1.8428295,-0.07225405,4.0099321e-08
4,4,60,1.2123321,1.2231437,0.31722677,2.2782261e-08
4,4,70,2.6564293,-0.5582885,1.126011,1.3053469e-08
4,4,80,2.9410815,-1.0826076,1.3711047,9.0495169e-09
4,4,90,3.1643643,-1.5582454,1.8605577,7.034709e-09
4,4,100,2.6970303,-1.1138366,1.3204801,5.7913119e-09
4,4,120,2.3497424,-0.9610559,1.6034671,4.3684263e-09
4,4,140,1.4613475,-0.022908032,0.83091754,3.5288628e-09
4,4,160,0.54993755,0.61008596,0.5019213,2.9366277e-09
4,4,180,-0.2118257,1.1553807,0.12343846,2.4789003e-09
4,4,200,-0.9495687,1.9851654,-0.25091976,2.1267361e-09
4,4,220,-0.3389989,1.2710495,0.8259999,1.7116349e-09
4,4,250,-0.9403863,3.3081274,-1.2470044,1.2143665e-09
4,5,70,4.8190017,-3.0505483,1.8092103,1.6864612e-08
4,5,80,4.642944,-3.0201368,2.184497,1.1788555e-08
4,5,90,4.4347596,-2.9763415,2.3979852,9.1189258e-09
4,5,100,4.1457915,-2.5713673,2.1609783,7.4761817e-09
4,5,120,3.331408,-1.6158947,1.6445178,5.6271551e-09
4,5,140,2.384939,-0.6605917,1.3995124,4.5506922e-09
4,5,160,1.3835971,0.23534966,0.74576485,3.7353605e-09
4,5,180,0.68382275,0.86406255,0.44749963,3.1146684e-09
4,5,200,-0.07808791,1.3728385,0.383605,2.6282427e-09
4,5,220,-0.70522773,2.0115335,-0.20104818,2.2705424e-09
4,5,250,-1.1510556,2.6300716,-0.1336975,1.6552784e-09
5,1,60,-1.8140428,0.47310007,-0.39579415,1.3121094e-08
5,1,70,-1.1209068,0.03036493,-0.07945733,8.7115423e-09
5,1,80,-0.40775776,-0.63723356,0.5681507,6.0573344e-09
5,1,90,-0.08889848,-0.7818482,0.6589383,4.5312666e-09
5,1,100,0.100491196,-0.9308406,0.7512083,3.6148087e-09
5,1,120,0.00012356043,-0.690616,1.0996407,2.6303521e-09
5,1,140,-0.0009741187,-0.3911675,1.1605088,2.019588e-09
5,1,160,-0.32176235,0.14222366,0.8669983,1.6170427e-09
5,1,180,-0.94015276,1.2089882,0.4951203,1.3194152e-09
5,1,200,-1.4465929,2.8625314,-0.4939363,1.1151765e-09
5,1,220,-0.18912365,2.5741105,-0.283683,8.482149e-10
5,1,250,1.7038156,1.1505419,1.44373,5.5240335e-10
5,2,50,-1.3520126,1.049664,-0.44947642,2.5641699e-08
5,2,60,-1.0282333,0.4217502,-0.101654515,1.6524367e-08
5,2,70,-1.0656872,0.37865257,0.4081763,1.1860152e-08
5,2,80,-1.3861551,1.4067528,-0.30560076,9.0196123e-09
5,2,90,-0.56474024,0.59734786,0.1065083,6.4530759e-09
5,2,100,-0.4559953,0.5280268,0.14680116,5.2112041e-09
5,2,120,-0.73494476,0.70927596,0.26168364,3.9307453e-09
5,2,140,-0.87591654,0.67080593,0.21430974,3.0178896e-09
5,2,160,-0.42934248,0.44990277,0.17438988,2.1865553e-09
5,2,180,-0.2563087,0.47801006,0.58482635,1.7072193e-09
5,2,200,-0.7417772,1.3992982,1.1001754,1.3868137e-09
5,2,220,-1.5731151,3.6713827,-1.545909,1.1406861e-09
5,2,250,0.75126433,2.2828536,0.20315017,7.1735773e-10
5,3,50,-0.7689182,1.4851687,-0.15339832,3.5226357e-08
5,3,60,-0.49246034,1.3980701,0.005913928,2.2200439e-08
5,3,70,0.34176296,0.8017472,0.2105437,1.3873859e-08
5,3,80,1.4988186,-0.50248814,1.0807297,8.8061025e-09
5,3,90,1.897511,-0.9980282,1.4136679,6.6205847e-09
5,3,100,1.9563508,-1.1372373,1.923199,5.3941535e-09
5,3,120,1.2580774,-0.31852767,1.0328883,4.1152878e-09
5,3,140,0.35660988,0.3143401,0.6622114,3.3846169e-09
5,3,160,-0.40661266,0.88989675,0.19278078,2.8686174e-09
5,3,180,0.040139616,0.33618313,0.20368497,2.1379915e-09
5,3,200,0.26842886,0.18469942,0.97923887,1.712288e-09
5,3,220,-0.13314241,0.976104,0.20287071,1.4477115e-09
5,3,250,-0.19430119,2.6196697,-0.2788002,1.1040324e-09
5,4,70,2.6564572,-0.6029453,1.0673305,1.5720101e-08
5,4,80,3.0006287,-1.2368507,1.456137,1.1013489e-08
5,4,90,3.0518208,-1.5935478,1.6942109,8.5147323e-09
5,4,100,2.804615,-1.3741207,1.5828855,6.9687069e-09
5,4,120,2.236364,-0.8571372,1.4190251,5.2108847e-09
5,4,140,1.5639564,-0.28998742,1.2624484,4.2063722e-09
5,4,160,0.7070884,0.2806803,0.9628196,3.4752902e-09
5,4,180,-0.23914787,1.0132444,0.5434586,2.9735015e-09
5,4,200,0.050771207,0.5150806,0.7206786,2.3593977e-09
5,4,220,0.34046906,0.2590044,1.1647724,1.859588e-09
5,4,250,-0.2171535,1.4143317,0.9501463,1.3764302e-09
5,5,50,4.8585935,-1.8760254,-0.6202159,7.9019519e-08
5,5,60,4.0979786,-1.0603926,-0.21199416,3.6105451e-08
5,5,70,4.568284,-2.509065,1.3023565,2.02956e-08
5,5,80,4.5788717,-2.9078395,1.9837075,1.4015716e-08
5,5,90,4.3677263,-2.8270905,2.143398,1.0710571e-08
5,5,100,4.073882,-2.5741804,2.3017051,8.7347641e-09
5,5,140,2.4507992,-0.8204356,1.4109509,5.286741e-09
5,5,160,1.5977931,-0.044134796,0.87026966,4.284174e-09
5,5,180,0.88546205,0.47434402,0.49983895,3.5289659e-09
5,5,200,0.07885131,1.3307555,0.04867591,3.0212393e-09
5,5,220,-0.15406862,1.2213897,0.026474014,2.4809968e-09
5,5,250,0.20627743,0.9344593,0.8857691,1.7862327e-09
